first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Age
Druci,Brandli,Female,39,29/04/1951,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,22,89105 Pearson Terrace,4075,QLD,Australia,7,66
Gregorius,Leal,Male,7,29/04/1951,,Retail,Affluent Customer,N,Yes,21,66 Merry Court,2033,NSW,Australia,12,66
Carola,Philler,Female,73,30/04/1951,Dental Hygienist,Health,High Net Worth,N,No,15,1037 Roth Park,2145,NSW,Australia,7,66
Evered,Gludor,Male,3,30/04/1951,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,15,305 Sloan Junction,2168,NSW,Australia,8,66
Roberto,Harme,Male,27,11/06/1951,Environmental Tech,n/a,High Net Worth,N,No,10,101 Starling Pass,2564,NSW,Australia,9,66
Fonsie,Levane,Male,96,10/07/1951,Account Representative III,n/a,High Net Worth,N,Yes,19,83 Armistice Terrace,4011,QLD,Australia,3,66
Cissiee,Baylis,Female,99,22/07/1951,Cost Accountant,Financial Services,High Net Worth,N,No,16,18 Dottie Park,2230,NSW,Australia,11,66
Leona,Shorrock,Female,83,23/08/1951,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,22,1560 Grim Avenue,4720,QLD,Australia,1,66
Carroll,Schlagman,Female,61,25/08/1951,Clinical Specialist,Health,Affluent Customer,N,No,13,15 Fisk Road,2099,NSW,Australia,9,66
Monty,Thomazin,Male,7,16/09/1951,Quality Engineer,n/a,Mass Customer,N,Yes,13,30738 Muir Avenue,3105,VIC,Australia,10,66
Augusta,Munns,Female,5,17/09/1951,Quality Control Specialist,n/a,Mass Customer,N,No,21,607 Memorial Avenue,2074,NSW,Australia,11,66
Elmira,Vasilyev,Female,33,14/10/1951,Senior Quality Engineer,Manufacturing,High Net Worth,N,No,12,12 Eastlawn Terrace,2007,NSW,Australia,9,66
Noel,Sturch,Female,26,28/10/1951,Environmental Specialist,Health,Mass Customer,N,No,10,0736 West Crossing,3585,VIC,Australia,1,66
Tannie,Petrakov,Male,84,27/11/1951,Data Coordiator,IT,Affluent Customer,N,No,10,691 Valley Edge Alley,4078,QLD,Australia,6,66
Brien,Heaton,Male,70,28/11/1951,Clinical Specialist,Health,Mass Customer,N,Yes,12,8 Novick Trail,2470,NSW,Australia,2,66
Annabelle,Hanwell,Female,11,28/11/1951,Professor,Manufacturing,High Net Worth,N,Yes,15,99 Sherman Parkway,3083,VIC,Australia,12,66
Raff,Waycott,Male,70,16/12/1951,Engineer IV,Manufacturing,Affluent Customer,N,Yes,14,94694 Eagle Crest Terrace,3977,VIC,Australia,7,66
Omero,McDonand,Male,51,01/04/1952,Software Consultant,Manufacturing,Mass Customer,N,No,16,48 Shoshone Park,2066,NSW,Australia,9,65
Kariotta,Naper,Female,8,07/04/1952,VP Sales,Health,Mass Customer,N,No,21,87 Crescent Oaks Alley,2756,NSW,Australia,10,65
Lucilia,Minshall,Female,71,15/04/1952,,IT,Mass Customer,N,Yes,7,0237 Mallard Place,2750,NSW,Australia,8,65
Liane,Poizer,Female,59,05/05/1952,Analyst Programmer,Property,High Net Worth,N,No,13,390 Express Plaza,2076,NSW,Australia,11,65
Haleigh,,Female,17,19/05/1952,Senior Sales Associate,Financial Services,Mass Customer,N,Yes,18,49 Jana Point,4503,QLD,Australia,4,65
Luci,Dyter,Female,12,30/05/1952,Software Test Engineer I,Manufacturing,High Net Worth,N,No,20,2 Namekagon Trail,3981,VIC,Australia,7,65
Dyane,Burwell,Female,19,27/06/1952,Engineer II,Retail,Mass Customer,N,Yes,7,51 Hooker Court,2640,NSW,Australia,2,65
Regine,Bownes,Female,99,01/07/1952,Senior Developer,Retail,Affluent Customer,N,No,15,255 Loeprich Lane,3752,VIC,Australia,9,65
Hedwig,Jayme,Female,38,21/08/1952,Accountant IV,Property,Affluent Customer,N,No,11,6293 Hooker Point,2099,NSW,Australia,10,65
Levy,Abramamov,Male,94,21/09/1952,Teacher,n/a,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,QLD,Australia,8,65
Craggie,Dering,Male,47,05/10/1952,Actuary,Financial Services,Mass Customer,N,No,7,11 Paget Road,2125,NSW,Australia,10,65
Rosemonde,Cartwight,Female,44,20/10/1952,Analyst Programmer,Retail,Mass Customer,N,Yes,7,518 Paget Hill,4605,QLD,Australia,1,65
Jacobo,Mucklow,Male,62,04/12/1952,Computer Systems Analyst I,Financial Services,High Net Worth,N,Yes,22,5512 Ronald Regan Hill,3122,VIC,Australia,8,65
Maddalena,Hencke,Female,61,09/12/1952,Help Desk Operator,n/a,High Net Worth,N,No,22,64037 Swallow Crossing,4170,QLD,Australia,5,65
Viki,Coutts,Female,2,14/12/1952,Automation Specialist II,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,NSW,Australia,4,65
Dickie,Cubbini,Male,30,17/12/1952,Financial Advisor,Financial Services,Mass Customer,N,Yes,19,57666 Victoria Way,4215,QLD,Australia,2,65
Vinny,Incogna,Female,73,13/02/1953,,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,64
Rebeca,Aggas,Female,66,27/02/1953,Social Worker,Health,Affluent Customer,N,No,21,7026 Katie Lane,3818,VIC,Australia,1,64
Timi,Duny,Female,70,12/03/1953,Office Assistant II,Telecommunications,High Net Worth,N,No,6,39192 Glendale Alley,2092,NSW,Australia,12,64
Hayes,Daveren,Male,32,27/03/1953,VP Quality Control,Manufacturing,Affluent Customer,N,Yes,11,1 Becker Parkway,4350,QLD,Australia,2,64
Dylan,Stranio,Male,47,02/04/1953,Project Manager,Manufacturing,High Net Worth,N,Yes,9,3662 Beilfuss Lane,2170,NSW,Australia,8,64
Dennis,Varnham,Male,57,17/05/1953,Assistant Media Planner,Entertainment,Affluent Customer,N,No,17,6455 Mayfield Street,3350,VIC,Australia,3,64
Nico,Chadwick,Male,97,24/05/1953,Research Assistant IV,Financial Services,Affluent Customer,N,No,13,355 Roxbury Lane,3190,VIC,Australia,8,64
Emeline,Vezey,Female,37,07/08/1953,Dental Hygienist,Health,Affluent Customer,N,Yes,19,2 Golden Leaf Parkway,3759,VIC,Australia,7,64
Caron,Kezar,Female,11,08/08/1953,Social Worker,Health,Mass Customer,N,No,5,40553 Rigney Avenue,2835,NSW,Australia,1,64
Reinald,Bembrigg,Male,54,21/08/1953,Senior Financial Analyst,Financial Services,Affluent Customer,N,No,10,858 Portage Hill,2770,NSW,Australia,7,64
Marie-jeanne,Breawood,Female,37,12/10/1953,Clinical Specialist,Health,High Net Worth,N,No,8,6 Prairieview Pass,2770,NSW,Australia,6,64
Hussein,Tapenden,Male,19,19/10/1953,Pharmacist,Health,Affluent Customer,N,Yes,12,0197 Sachs Avenue,2747,NSW,Australia,8,64
Shellysheldon,Bichard,Male,96,06/01/1954,Desktop Support Technician,Financial Services,Mass Customer,N,Yes,16,7199 Springview Parkway,4503,QLD,Australia,5,63
Jodi,Lermit,Female,94,30/01/1954,,Health,Mass Customer,N,Yes,10,05 Corry Center,4021,QLD,Australia,2,63
Kamila,Parsonage,Female,80,08/03/1954,,Property,Mass Customer,N,No,5,31 Mccormick Court,4131,QLD,Australia,8,63
Antony,Tuma,Male,11,10/03/1954,Environmental Tech,Telecommunications,High Net Worth,N,Yes,13,93264 Almo Plaza,3078,VIC,Australia,10,63
Dukie,Swire,Male,88,31/03/1954,,Manufacturing,Affluent Customer,N,Yes,5,64 Granby Parkway,2500,NSW,Australia,8,63
Jermaine,Bagshawe,Female,60,14/05/1954,Help Desk Operator,Property,Mass Customer,N,Yes,9,260 Briar Crest Drive,4209,QLD,Australia,6,63
Porter,Buckenhill,Male,46,14/06/1954,Help Desk Operator,Manufacturing,High Net Worth,N,Yes,9,376 Talmadge Street,4124,QLD,Australia,7,63
Patrice,Pariss,Male,96,15/06/1954,VP Accounting,Financial Services,Mass Customer,N,No,9,3745 Thierer Trail,4078,QLD,Australia,5,63
Hilliard,Dullard,Male,65,18/07/1954,Civil Engineer,Manufacturing,Mass Customer,N,No,17,37919 Old Gate Park,2163,NSW,Australia,8,63
Karly,Willavize,Female,2,12/08/1954,Internal Auditor,Manufacturing,High Net Worth,N,No,12,193 North Point,2190,NSW,Australia,10,63
Angele,Cadore,Female,5,06/09/1954,Chief Design Engineer,n/a,Mass Customer,N,Yes,7,85894 Amoth Court,4125,QLD,Australia,7,63
Cordie,Brankley,Female,79,21/09/1954,Librarian,Entertainment,High Net Worth,N,No,18,46 Westerfield Place,2195,NSW,Australia,6,63
Melloney,Temby,Female,17,05/10/1954,Budget/Accounting Analyst IV,Financial Services,Affluent Customer,N,Yes,15,33475 Fair Oaks Junction,4702,QLD,Australia,2,63
Sofie,Worsfold,Female,87,06/10/1954,Environmental Tech,Retail,Mass Customer,N,Yes,9,7 Maple Wood Plaza,4125,QLD,Australia,6,63
Andree,Breeds,Female,31,19/10/1954,Senior Editor,Financial Services,Affluent Customer,N,Yes,11,93 Scofield Pass,3152,VIC,Australia,6,63
Renell,Earley,Female,5,21/10/1954,Compensation Analyst,Financial Services,Mass Customer,N,Yes,11,79 Manufacturers Plaza,4171,QLD,Australia,5,63
Art,Carolan,Male,1,09/11/1954,Marketing Manager,n/a,Affluent Customer,N,Yes,11,57903 Hanson Parkway,2570,NSW,Australia,9,63
Maribeth,Stivani,Female,46,13/11/1954,Associate Professor,Financial Services,Mass Customer,N,No,7,945 Bobwhite Court,2430,NSW,Australia,8,63
Deirdre,Burgoine,Female,14,08/01/1955,Programmer III,Health,High Net Worth,N,No,7,0 Stoughton Park,3000,VIC,Australia,1,62
Reinaldos,Simmig,Male,55,15/01/1955,Nurse Practicioner,Manufacturing,High Net Worth,N,No,8,6112 Mariners Cove Park,3147,VIC,Australia,10,62
Gannie,Bargh,Male,56,13/02/1955,Analyst Programmer,n/a,Mass Customer,N,Yes,13,1832 Burning Wood Place,3201,VIC,Australia,7,62
Jim,Haddrell,Male,55,08/04/1955,Associate Professor,Financial Services,Mass Customer,N,No,9,53 Dryden Trail,2358,NSW,Australia,3,62
Alvira,Coulman,Female,42,05/06/1955,Account Representative II,n/a,Affluent Customer,N,No,14,823 Wayridge Trail,2205,NSW,Australia,9,62
Garik,Whitwell,Male,44,13/06/1955,,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,VIC,Australia,2,62
Olive,Mozzi,Female,87,06/07/1955,Account Representative IV,Retail,Affluent Customer,N,Yes,20,26667 Rigney Place,2567,NSW,Australia,9,62
Maximilian,Geffen,Male,96,13/07/1955,Automation Specialist III,Manufacturing,Mass Customer,N,Yes,20,8634 Wayridge Pass,2750,NSW,Australia,8,62
Manya,Abramovici,Female,42,17/07/1955,Quality Engineer,Financial Services,High Net Worth,N,Yes,13,8 Randy Park,4214,QLD,Australia,8,62
Clari,Voas,Female,74,28/07/1955,Human Resources Assistant II,Health,Affluent Customer,N,Yes,14,4110 Mifflin Center,2127,NSW,Australia,8,62
Jeanne,Darte,Female,70,18/08/1955,,n/a,Mass Customer,N,Yes,11,3 Homewood Park,2756,NSW,Australia,7,62
Loria,Tappington,Female,72,06/09/1955,Research Assistant IV,Property,Mass Customer,N,No,5,3920 Swallow Junction,3038,VIC,Australia,8,62
Lek,Pimblett,Male,88,29/09/1955,Product Engineer,Financial Services,Mass Customer,N,Yes,6,97 Merrick Center,2460,NSW,Australia,2,62
Sylas,Duffill,Male,56,02/10/1955,Staff Accountant IV,Property,Mass Customer,N,Yes,14,21875 Grover Drive,2010,NSW,Australia,9,62
Levin,Coxen,Male,13,22/10/1955,Accountant I,Property,Mass Customer,N,No,20,32 Hazelcrest Court,2753,NSW,Australia,8,62
Jackie,Pays,Male,21,09/11/1955,Developer I,Health,Mass Customer,N,No,9,75024 Ronald Regan Hill,2135,NSW,Australia,12,62
Benedict,Rosas,Male,73,25/11/1955,Actuary,Financial Services,High Net Worth,N,Yes,15,898 Muir Court,2142,NSW,Australia,6,62
Annabell,Downer,Female,33,25/11/1955,Budget/Accounting Analyst II,n/a,Affluent Customer,N,No,20,8738 Lukken Terrace,2763,NSW,Australia,9,62
Elsworth,Abbitt,Male,71,08/02/1956,,Health,Mass Customer,N,Yes,6,9722 Northport Way,3500,VIC,Australia,3,61
Sawyer,Sponton,Male,36,22/02/1956,Help Desk Technician,Property,Mass Customer,N,Yes,10,5 Golf Terrace,2126,NSW,Australia,11,61
Paulina,Iannuzzelli,Female,57,08/03/1956,Automation Specialist I,Manufacturing,Mass Customer,N,No,19,097 Hollow Ridge Alley,2118,NSW,Australia,11,61
Cobbie,Bruyett,Male,20,19/03/1956,Associate Professor,n/a,Mass Customer,N,Yes,20,8593 Prairie Rose Way,2500,NSW,Australia,8,61
Irvine,Headon,Male,99,21/04/1956,Geologist III,IT,Affluent Customer,N,Yes,20,9 Hovde Way,2322,NSW,Australia,5,61
Free,Rowland,Male,42,17/05/1956,,n/a,Mass Customer,N,Yes,12,24929 Spaight Junction,3796,VIC,Australia,8,61
Gretel,Paschke,Female,10,29/05/1956,Editor,Financial Services,Mass Customer,N,Yes,17,72 Melrose Street,4074,QLD,Australia,7,61
Vladimir,Westmerland,Male,18,19/06/1956,,Manufacturing,Mass Customer,N,Yes,18,102 Charing Cross Terrace,2640,NSW,Australia,4,61
Bertrando,Carass,Male,45,25/06/1956,Sales Associate,Property,Mass Customer,N,No,8,1 Quincy Road,2565,NSW,Australia,5,61
Philbert,Raraty,Male,48,28/06/1956,Executive Secretary,Manufacturing,Mass Customer,N,No,6,10 Dexter Park,2177,NSW,Australia,9,61
Mariette,,Female,47,05/07/1956,Programmer II,Property,Affluent Customer,N,Yes,17,770 Farmco Point,2049,NSW,Australia,11,61
Sheena,Kybbye,Female,14,16/07/1956,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,61
Rafi,Brettelle,Male,89,12/08/1956,Operator,Health,High Net Worth,N,No,6,11 Brickson Park Alley,2166,NSW,Australia,10,61
Gipsy,Ewestace,Female,29,30/08/1956,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,61
Skippie,Yearsley,Male,6,04/09/1956,Compensation Analyst,Financial Services,Mass Customer,N,No,9,95306 John Wall Avenue,4350,QLD,Australia,5,61
Bartram,Caltun,Male,28,15/09/1956,Internal Auditor,Health,Affluent Customer,N,Yes,12,174 Farwell Point,2121,NSW,Australia,11,61
Shay,Briand,Male,57,05/10/1956,Project Manager,IT,Mass Customer,N,Yes,9,1 Mandrake Way,3844,VIC,Australia,1,61
Shane,Killen,Male,28,16/10/1956,Account Executive,Entertainment,High Net Worth,N,No,10,7 Hazelcrest Place,2165,NSW,Australia,8,61
Glennis,Flintoff,Female,36,22/10/1956,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7,61
Karrah,Howell,Female,63,07/11/1956,Civil Engineer,Manufacturing,Mass Customer,N,No,17,4897 Melody Road,2566,NSW,Australia,9,61
Gallagher,Bromell,Male,18,02/12/1956,Assistant Manager,n/a,Mass Customer,N,No,17,91634 Badeau Crossing,4556,QLD,Australia,8,61
Nixie,Shoesmith,Female,45,04/12/1956,Junior Executive,Retail,Affluent Customer,N,No,12,77608 Donald Center,4516,QLD,Australia,6,61
Leeland,,Male,66,24/01/1957,VP Quality Control,Telecommunications,High Net Worth,N,No,12,9 Stephen Center,4122,QLD,Australia,4,60
Aloysius,Killingsworth,Male,89,14/02/1957,VP Quality Control,n/a,Mass Customer,N,No,12,625 Mandrake Junction,2145,NSW,Australia,9,60
Adriena,Giffin,Female,27,17/03/1957,Analog Circuit Design manager,Argiculture,Affluent Customer,N,Yes,5,1 Manitowish Court,2259,NSW,Australia,9,60
Bink,Bentje,Male,3,23/03/1957,Payment Adjustment Coordinator,Financial Services,High Net Worth,N,Yes,19,8427 Moulton Place,2680,NSW,Australia,3,60
Roseanne,Caruth,Female,16,25/05/1957,Programmer Analyst III,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,NSW,Australia,9,60
Francisca,Pottage,Female,63,10/06/1957,Software Engineer II,IT,Mass Customer,N,No,8,8600 Forster Lane,2177,NSW,Australia,9,60
Dulce,Bradwell,Female,61,03/07/1957,Research Associate,Manufacturing,Mass Customer,N,No,20,30 Lukken Point,4159,QLD,Australia,9,60
Chickie,Brister,Male,86,12/07/1957,General Manager,Manufacturing,Mass Customer,N,Yes,14,45 Shopko Center,4500,QLD,Australia,6,60
Kenneth,Elleyne,Male,13,03/09/1957,Technical Writer,Financial Services,Mass Customer,N,No,13,27429 Dottie Plaza,3145,VIC,Australia,11,60
Fey,,Female,48,04/09/1957,Research Nurse,Health,High Net Worth,N,Yes,11,77 Paget Park,3147,VIC,Australia,12,60
Claresta,MacConnulty,Female,6,01/10/1957,Recruiting Manager,n/a,Mass Customer,N,Yes,20,0516 Fremont Point,2026,NSW,Australia,9,60
Audry,Fann,Female,3,17/10/1957,Pharmacist,Health,Mass Customer,N,Yes,15,19 Debs Parkway,3029,VIC,Australia,6,60
Arel,Abramovitz,Male,72,12/11/1957,Nurse Practicioner,Health,Mass Customer,N,No,16,32249 Sycamore Way,4650,QLD,Australia,4,60
Solomon,Bruck,Male,29,15/11/1957,Junior Executive,Health,Mass Customer,N,No,12,5 High Crossing Junction,4556,QLD,Australia,8,60
Brook,Eade,Female,65,17/11/1957,Sales Representative,Retail,Mass Customer,N,Yes,8,58 Meadow Valley Court,2330,NSW,Australia,5,60
Mair,Erett,Female,15,05/12/1957,Speech Pathologist,n/a,Affluent Customer,N,No,18,79 Armistice Parkway,2117,NSW,Australia,7,60
Thaddus,Joder,Male,31,10/12/1957,,Manufacturing,Mass Customer,N,No,7,27185 Fisk Drive,2290,NSW,Australia,8,60
Jenelle,Fearnill,Female,12,03/01/1958,Social Worker,Health,High Net Worth,N,No,19,06 Old Gate Park,2144,NSW,Australia,9,59
Sile,Zappel,Female,47,29/03/1958,Business Systems Development Analyst,IT,High Net Worth,N,No,15,44350 Buell Alley,4018,QLD,Australia,6,59
Catha,Davitt,Female,79,16/04/1958,Environmental Specialist,Property,High Net Worth,N,Yes,6,192 South Junction,2567,NSW,Australia,7,59
Garwin,Nurden,Male,54,19/04/1958,Programmer I,Property,High Net Worth,N,Yes,5,0 Union Parkway,3142,VIC,Australia,11,59
Mabelle,Wellbelove,Female,76,21/04/1958,,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9,59
Caritta,Compston,Female,86,25/04/1958,Geological Engineer,Manufacturing,Mass Customer,N,Yes,17,48971 Marquette Point,3976,VIC,Australia,5,59
Gabey,Kennicott,Female,55,14/05/1958,Developer I,Financial Services,Affluent Customer,N,No,17,8 Fordem Place,2322,NSW,Australia,6,59
Sheilakathryn,Huff,Female,45,15/05/1958,Assistant Manager,n/a,High Net Worth,N,Yes,14,04 Miller Drive,2477,NSW,Australia,6,59
Truman,Arlett,Male,58,25/06/1958,Technical Writer,Manufacturing,High Net Worth,N,Yes,16,3 Spohn Circle,2477,NSW,Australia,5,59
Kyle,Michie,Female,6,19/07/1958,Nurse Practicioner,n/a,Mass Customer,N,Yes,10,07226 Anzinger Avenue,3032,VIC,Australia,8,59
Clemmie,Bartoszewicz,Female,87,28/07/1958,Statistician IV,Financial Services,Mass Customer,N,No,8,727 Morrow Parkway,3197,VIC,Australia,9,59
Justinn,Haruard,Female,48,28/08/1958,Health Coach IV,Health,High Net Worth,N,No,11,00 Judy Terrace,2035,NSW,Australia,12,59
Dimitri,Tribbeck,Male,89,07/12/1958,Chief Design Engineer,n/a,Affluent Customer,N,No,20,93235 Hoard Trail,3165,VIC,Australia,6,59
Debbi,Dannatt,Female,2,28/12/1958,Technical Writer,n/a,Affluent Customer,N,No,6,3 Pepper Wood Hill,4218,QLD,Australia,10,59
Dexter,Shutle,Male,81,05/01/1959,Quality Control Specialist,n/a,Mass Customer,N,No,17,07 Dayton Court,4005,QLD,Australia,7,58
Nanni,Girodias,Female,61,08/01/1959,,Retail,High Net Worth,N,No,16,74 Shopko Pass,2161,NSW,Australia,9,58
Ingmar,Okenden,Male,97,01/03/1959,Compensation Analyst,Financial Services,Mass Customer,N,Yes,8,1 Graceland Plaza,3216,VIC,Australia,2,58
Delly,Sunman,Female,49,11/04/1959,Account Coordinator,Retail,Mass Customer,N,No,15,652 Fuller Terrace,3206,VIC,Australia,12,58
Engracia,Dobbs,Female,84,19/04/1959,,Health,Mass Customer,N,No,15,72 Eliot Place,2250,NSW,Australia,8,58
Robenia,Monks,Female,94,08/05/1959,Nurse Practicioner,Manufacturing,Mass Customer,N,No,5,8 Fieldstone Street,4065,QLD,Australia,9,58
Alfi,Sabbins,Female,63,12/06/1959,,Financial Services,High Net Worth,N,Yes,18,763 Ridgeway Place,2344,NSW,Australia,3,58
Gerik,Woodroof,Male,18,13/06/1959,Paralegal,Financial Services,High Net Worth,N,Yes,9,41 Kropf Road,3175,VIC,Australia,7,58
Weidar,Etheridge,Male,38,13/07/1959,Compensation Analyst,Financial Services,Mass Customer,N,Yes,6,0535 Jay Point,2422,NSW,Australia,4,58
Giselbert,Pickring,Male,94,28/07/1959,Tax Accountant,Manufacturing,Affluent Customer,N,Yes,20,653 2nd Park,2766,NSW,Australia,8,58
Markus,Pendrey,Male,88,01/08/1959,Clinical Specialist,Health,Affluent Customer,N,Yes,12,2382 Anthes Crossing,2153,NSW,Australia,10,58
Ted,Izacenko,Male,3,01/08/1959,Librarian,Entertainment,High Net Worth,N,No,9,2 Shasta Place,3130,VIC,Australia,10,58
Kathe,Oller,Female,47,20/08/1959,General Manager,Manufacturing,Mass Customer,N,Yes,5,817 Loftsgordon Road,3029,VIC,Australia,4,58
Rickert,Brasted,Male,47,18/09/1959,Staff Scientist,Health,Mass Customer,N,No,10,20 Hoffman Park,2145,NSW,Australia,9,58
Consalve,Ballay,Male,41,18/09/1959,Web Developer I,IT,Mass Customer,N,Yes,7,72 Village Terrace,2250,NSW,Australia,8,58
Ferdinand,Romanetti,Male,60,07/10/1959,Paralegal,Financial Services,Affluent Customer,N,No,9,2 Sloan Way,2200,NSW,Australia,7,58
Gerta,Porrett,Female,46,13/11/1959,Registered Nurse,Health,High Net Worth,N,No,12,074 Badeau Crossing,3250,VIC,Australia,2,58
Ahmed,Pickthorne,Male,46,25/12/1959,Marketing Manager,n/a,High Net Worth,N,Yes,15,50 American Street,2147,NSW,Australia,9,58
Kippar,Whyatt,Male,13,21/01/1960,,Property,Mass Customer,N,No,10,264 Valley Edge Pass,2259,NSW,Australia,7,57
Xenia,Maleck,Female,41,14/02/1960,VP Product Management,Telecommunications,Mass Customer,N,No,12,5 Southridge Hill,3029,VIC,Australia,7,57
Sharline,Abyss,Female,11,18/03/1960,,n/a,Mass Customer,N,Yes,15,367 Bay Point,4011,QLD,Australia,4,57
Ardis,Taree,Female,97,12/04/1960,Chemical Engineer,Manufacturing,Affluent Customer,N,Yes,5,0 Emmet Trail,4128,QLD,Australia,9,57
Rowen,Sollas,Male,38,23/04/1960,Dental Hygienist,Health,Mass Customer,N,No,5,4 Anzinger Street,4556,QLD,Australia,8,57
Romonda,Hallt,Female,69,09/05/1960,Operator,n/a,Affluent Customer,N,No,15,703 Ludington Plaza,2480,NSW,Australia,4,57
Trudie,Phinnessy,Female,45,04/07/1960,,Financial Services,Mass Customer,N,Yes,15,077 Dennis Lane,3030,VIC,Australia,9,57
Tillie,Bisseker,Female,74,10/08/1960,Civil Engineer,Manufacturing,High Net Worth,N,No,14,59208 Barnett Avenue,2104,NSW,Australia,12,57
Morgen,Newport,Female,5,31/08/1960,Project Manager,Manufacturing,Mass Customer,N,No,6,9 Washington Center,3340,VIC,Australia,4,57
Reginald,Jermy,Male,7,12/09/1960,Director of Sales,n/a,High Net Worth,N,Yes,20,540 Katie Street,4128,QLD,Australia,8,57
Cazzie,Stanwix,Male,37,01/10/1960,Research Assistant IV,Manufacturing,High Net Worth,N,Yes,11,6026 Mallory Drive,4561,QLD,Australia,7,57
Rhona,De Freyne,Female,45,22/11/1960,,Health,High Net Worth,N,No,8,11184 East Drive,3056,VIC,Australia,10,57
Blinnie,Roze,Female,84,10/12/1960,Librarian,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,QLD,Australia,7,57
George,Jose,Male,68,19/12/1960,Payment Adjustment Coordinator,Retail,High Net Worth,N,Yes,20,535 Corben Point,4680,QLD,Australia,4,57
Harman,A'field,Male,39,27/12/1960,Geologist III,Manufacturing,Affluent Customer,N,Yes,6,31815 Vermont Drive,4227,QLD,Australia,5,57
Bartram,Di Lucia,Male,70,03/01/1961,,Argiculture,Mass Customer,N,Yes,5,83509 Delaware Street,2480,NSW,Australia,3,56
Nora,Anselm,Female,84,05/01/1961,,Entertainment,High Net Worth,N,Yes,15,2 Emmet Parkway,4342,QLD,Australia,5,56
Dorolice,Osmon,Female,46,15/01/1961,,Financial Services,Affluent Customer,N,No,15,602 Clove Center,3046,VIC,Australia,6,56
Sharai,Priddie,Female,13,16/01/1961,Sales Representative,Retail,Mass Customer,N,No,9,5202 Crowley Place,2145,NSW,Australia,9,56
Hildegarde,Bamb,Female,16,10/02/1961,Help Desk Operator,n/a,High Net Worth,N,Yes,10,5070 Division Parkway,3910,VIC,Australia,9,56
Eddy,Sturch,Male,22,11/02/1961,Software Consultant,Financial Services,High Net Worth,N,Yes,17,1 Kinsman Crossing,4158,QLD,Australia,6,56
Sean,O'Loughlin,Male,48,22/03/1961,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,Australia,10,56
Tobias,Woodhams,Male,0,15/04/1961,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9,56
Terrel,Keynd,Male,30,20/04/1961,Junior Executive,Manufacturing,Mass Customer,N,No,9,65 David Pass,4221,QLD,Australia,7,56
Garreth,Minett,Male,93,23/05/1961,Physical Therapy Assistant,n/a,Affluent Customer,N,Yes,10,21667 Randy Crossing,3163,VIC,Australia,7,56
Harman,Lynds,Male,4,27/05/1961,Professor,n/a,Mass Customer,N,Yes,5,538 Gina Way,4105,QLD,Australia,8,56
Mycah,Beaston,Male,11,31/07/1961,Environmental Specialist,n/a,High Net Worth,N,Yes,12,2 Mandrake Street,2221,NSW,Australia,11,56
Laurena,,Female,21,31/07/1961,VP Sales,n/a,High Net Worth,N,No,10,7 Messerschmidt Crossing,3810,VIC,Australia,6,56
Feodor,Englishby,Male,54,14/08/1961,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,Australia,5,56
Lotty,Loach,Female,76,23/08/1961,Nurse,Health,High Net Worth,N,Yes,7,78451 South Street,2380,NSW,Australia,3,56
Huberto,Mollatt,Male,82,27/08/1961,Programmer IV,n/a,Mass Customer,N,Yes,14,31121 Pierstorff Center,2770,NSW,Australia,7,56
Kizzee,Kemston,Female,11,29/09/1961,,Health,Mass Customer,N,No,13,5979 Green Ridge Way,2767,NSW,Australia,8,56
Fabio,Commuzzo,Male,5,02/10/1961,Software Test Engineer II,Manufacturing,Mass Customer,N,No,18,66 Shopko Circle,3806,VIC,Australia,8,56
Cristen,Wiltshire,Female,59,20/10/1961,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,Australia,6,56
Aridatha,Sephton,Female,95,22/10/1961,Human Resources Assistant II,n/a,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,Australia,1,56
Josepha,Clamp,Female,12,03/11/1961,Marketing Manager,n/a,High Net Worth,N,No,12,2 Harper Junction,2069,NSW,Australia,12,56
